Entry_Time,Exit_Time,Type,Entry_Price,Exit_Price,Profit_Loss,Cumulative_Equity,Drawdown
2025-08-12 08:20:00,2025-08-12 11:00:00,SELL,3351.09,3343.82,14.55,10014.55,0.0
2025-08-12 11:15:00,2025-08-12 11:30:00,SELL,3342.24,3344.11,-3.75,10010.8,0.04
2025-08-12 11:55:00,2025-08-12 12:20:00,SELL,3347.5,3340.6,13.8,10024.59,0.0
2025-08-12 13:05:00,2025-08-12 13:40:00,SELL,3347.84,3352.7,-9.72,10014.87,0.1
2025-08-12 13:50:00,2025-08-12 15:25:00,SELL,3346.13,3352.41,-12.56,10002.31,0.22
2025-08-12 16:10:00,2025-08-12 16:35:00,SELL,3347.01,3351.23,-8.43,9993.88,0.31
2025-08-12 16:45:00,2025-08-13 08:00:00,SELL,3348.01,3351.46,-6.9,9986.98,0.38
2025-08-13 09:15:00,2025-08-13 09:40:00,BUY,3360.65,3366.18,11.05,9998.03,0.26
2025-08-13 10:25:00,2025-08-13 11:05:00,BUY,3364.08,3362.52,-3.12,9994.91,0.3
2025-08-13 13:20:00,2025-08-13 13:50:00,BUY,3356.55,3364.87,16.64,10011.55,0.13
2025-08-13 15:25:00,2025-08-13 16:10:00,SELL,3355.9,3358.74,-5.7,10005.85,0.19
2025-08-14 08:30:00,2025-08-14 09:05:00,SELL,3349.06,3351.62,-5.12,10000.73,0.24
2025-08-14 09:25:00,2025-08-14 10:25:00,SELL,3356.2,3358.79,-5.18,9995.55,0.29
2025-08-14 10:35:00,2025-08-14 12:30:00,SELL,3357.4,3351.52,11.76,10007.31,0.17
2025-08-14 12:55:00,2025-08-14 13:00:00,SELL,3350.63,3353.3,-5.32,10001.98,0.23
2025-08-14 13:20:00,2025-08-14 14:10:00,SELL,3346.03,3334.7,22.65,10024.63,0.0
2025-08-14 14:35:00,2025-08-14 16:15:00,SELL,3343.38,3330.72,25.31,10049.95,0.0
2025-08-14 16:50:00,2025-08-15 08:00:00,SELL,3334.3,3337.26,-5.93,10044.01,0.06
2025-08-15 08:40:00,2025-08-15 08:45:00,SELL,3339.4,3341.15,-3.5,10040.51,0.09
2025-08-15 08:55:00,2025-08-15 09:20:00,SELL,3341.26,3343.05,-3.58,10036.93,0.13
2025-08-15 10:00:00,2025-08-15 11:40:00,SELL,3341.64,3343.4,-3.51,10033.42,0.16
2025-08-15 12:00:00,2025-08-15 12:30:00,SELL,3341.41,3336.42,9.99,10043.4,0.07
2025-08-15 13:15:00,2025-08-15 13:20:00,SELL,3337.35,3340.21,-5.72,10037.69,0.12
2025-08-15 13:50:00,2025-08-15 13:55:00,SELL,3333.95,3336.91,-5.91,10031.77,0.18
2025-08-15 14:25:00,2025-08-15 14:30:00,SELL,3338.49,3341.49,-6.0,10025.77,0.24
2025-08-15 16:00:00,2025-08-18 08:00:00,SELL,3341.32,3343.41,-4.2,10021.58,0.28
2025-08-18 08:35:00,2025-08-18 10:50:00,BUY,3348.83,3347.19,-3.29,10018.28,0.32
2025-08-18 11:00:00,2025-08-18 11:40:00,BUY,3348.39,3347.02,-2.73,10015.55,0.34
2025-08-18 12:15:00,2025-08-18 12:20:00,SELL,3345.33,3346.55,-2.43,10013.12,0.37
2025-08-18 13:50:00,2025-08-19 08:00:00,SELL,3337.42,3339.79,-4.74,10008.38,0.41
2025-08-19 08:10:00,2025-08-19 08:15:00,SELL,3336.92,3338.39,-2.94,10005.44,0.44
2025-08-19 09:55:00,2025-08-19 10:10:00,BUY,3339.29,3342.7,6.82,10012.27,0.37
2025-08-19 12:15:00,2025-08-19 12:20:00,BUY,3338.78,3337.49,-2.57,10009.69,0.4
2025-08-19 13:55:00,2025-08-19 14:00:00,SELL,3333.99,3336.66,-5.35,10004.34,0.45
2025-08-19 14:25:00,2025-08-19 14:40:00,SELL,3335.53,3327.61,15.84,10020.18,0.3
2025-08-19 15:20:00,2025-08-20 08:00:00,SELL,3325.09,3324.3,1.57,10021.75,0.28
2025-08-20 08:35:00,2025-08-20 09:15:00,BUY,3323.05,3327.11,8.12,10029.88,0.2
2025-08-20 10:25:00,2025-08-20 10:50:00,BUY,3326.79,3325.58,-2.41,10027.46,0.22
2025-08-20 13:25:00,2025-08-20 13:40:00,BUY,3340.83,3347.21,12.77,10040.23,0.1
2025-08-20 14:25:00,2025-08-20 15:15:00,BUY,3344.35,3341.52,-5.67,10034.56,0.15
2025-08-20 15:55:00,2025-08-21 08:00:00,BUY,3340.59,3339.8,-1.58,10032.98,0.17
2025-08-21 08:15:00,2025-08-21 08:55:00,SELL,3339.95,3341.14,-2.38,10030.61,0.19
2025-08-21 09:00:00,2025-08-21 09:05:00,SELL,3338.86,3340.07,-2.41,10028.2,0.22
2025-08-21 09:15:00,2025-08-21 09:45:00,SELL,3339.15,3340.34,-2.38,10025.82,0.24
2025-08-21 10:05:00,2025-08-21 10:35:00,SELL,3339.81,3336.29,7.04,10032.86,0.17
2025-08-21 12:10:00,2025-08-21 12:20:00,BUY,3341.43,3339.6,-3.66,10029.21,0.21
2025-08-21 15:10:00,2025-08-21 15:25:00,SELL,3338.86,3341.77,-5.83,10023.38,0.26
2025-08-21 16:35:00,2025-08-22 08:00:00,SELL,3339.8,3333.3,12.99,10036.37,0.14
2025-08-22 08:35:00,2025-08-22 08:50:00,SELL,3328.89,3330.48,-3.18,10033.19,0.17
2025-08-22 09:05:00,2025-08-22 12:10:00,SELL,3330.34,3325.59,9.49,10042.68,0.07
2025-08-22 12:20:00,2025-08-22 12:30:00,SELL,3327.02,3322.44,9.17,10051.85,0.0
2025-08-22 12:55:00,2025-08-22 13:00:00,SELL,3323.54,3325.42,-3.77,10048.09,0.04
2025-08-22 14:05:00,2025-08-22 14:10:00,BUY,3354.56,3358.89,8.66,10056.75,0.0
2025-08-25 09:25:00,2025-08-25 09:30:00,SELL,3362.63,3363.51,-1.76,10054.99,0.02
2025-08-25 12:45:00,2025-08-25 12:55:00,BUY,3365.88,3364.65,-2.47,10052.52,0.04
2025-08-25 13:30:00,2025-08-25 14:00:00,BUY,3366.06,3371.31,10.5,10063.03,0.0
2025-08-25 14:30:00,2025-08-26 08:00:00,BUY,3371.57,3378.54,13.92,10076.95,0.0
2025-08-26 08:25:00,2025-08-26 08:55:00,BUY,3378.84,3377.01,-3.66,10073.29,0.04
2025-08-26 09:45:00,2025-08-26 09:55:00,SELL,3370.41,3372.13,-3.43,10069.86,0.07
2025-08-26 10:20:00,2025-08-26 11:05:00,SELL,3371.5,3373.2,-3.4,10066.47,0.1
2025-08-26 12:55:00,2025-08-26 13:00:00,SELL,3372.06,3373.86,-3.59,10062.88,0.14
2025-08-26 13:25:00,2025-08-26 14:05:00,BUY,3373.77,3371.4,-4.75,10058.12,0.19
2025-08-26 14:20:00,2025-08-26 15:35:00,BUY,3375.18,3383.91,17.47,10075.59,0.01
2025-08-27 08:50:00,2025-08-27 09:30:00,BUY,3383.8,3382.44,-2.71,10072.88,0.04
2025-08-27 10:25:00,2025-08-27 10:40:00,SELL,3376.5,3377.8,-2.6,10070.28,0.07
2025-08-27 10:45:00,2025-08-27 11:50:00,SELL,3376.43,3377.81,-2.75,10067.53,0.09
2025-08-27 12:25:00,2025-08-27 12:35:00,BUY,3381.72,3380.22,-3.0,10064.53,0.12
2025-08-27 13:40:00,2025-08-27 14:15:00,SELL,3378.07,3380.5,-4.85,10059.68,0.17
2025-08-28 08:15:00,2025-08-28 08:35:00,BUY,3395.43,3399.67,8.48,10068.16,0.09
2025-08-28 10:25:00,2025-08-28 10:35:00,BUY,3396.69,3395.41,-2.55,10065.62,0.11
2025-08-28 11:15:00,2025-08-28 11:25:00,BUY,3398.89,3402.76,7.73,10073.35,0.04
2025-08-28 11:30:00,2025-08-28 12:00:00,BUY,3405.37,3403.88,-2.98,10070.37,0.07
2025-08-28 13:00:00,2025-08-28 13:05:00,BUY,3399.37,3396.7,-5.34,10065.03,0.12
2025-08-28 13:10:00,2025-08-28 13:40:00,BUY,3398.35,3407.07,17.44,10082.47,0.0
2025-08-28 15:45:00,2025-08-28 16:30:00,BUY,3408.51,3415.68,14.33,10096.8,0.0
2025-08-29 09:00:00,2025-08-29 10:15:00,SELL,3410.01,3406.3,7.41,10104.2,0.0
2025-08-29 10:20:00,2025-08-29 10:35:00,SELL,3406.53,3407.67,-2.26,10101.94,0.02
2025-08-29 10:40:00,2025-08-29 11:30:00,SELL,3407.16,3408.21,-2.1,10099.84,0.04
2025-08-29 11:35:00,2025-08-29 11:45:00,SELL,3407.96,3409.04,-2.18,10097.66,0.06
2025-08-29 12:30:00,2025-08-29 12:55:00,BUY,3411.75,3416.35,9.2,10106.86,0.0
2025-08-29 16:30:00,2025-09-01 08:00:00,BUY,3447.19,3454.92,15.46,10122.33,0.0
2025-09-01 10:05:00,2025-09-01 10:15:00,BUY,3471.54,3469.46,-4.16,10118.17,0.04
2025-09-01 12:40:00,2025-09-01 13:05:00,BUY,3469.41,3474.86,10.89,10129.06,0.0
2025-09-01 13:10:00,2025-09-01 14:00:00,BUY,3477.36,3475.02,-4.69,10124.37,0.05
2025-09-01 14:10:00,2025-09-01 14:30:00,BUY,3478.04,3475.69,-4.7,10119.67,0.09
2025-09-01 14:45:00,2025-09-01 16:00:00,BUY,3475.46,3472.99,-4.94,10114.73,0.14
2025-09-01 16:30:00,2025-09-02 08:00:00,BUY,3475.23,3473.52,-3.41,10111.32,0.18
2025-09-02 08:25:00,2025-09-02 08:40:00,SELL,3477.05,3479.75,-5.4,10105.92,0.23
2025-09-02 08:45:00,2025-09-02 10:10:00,SELL,3479.27,3481.68,-4.83,10101.09,0.28
2025-09-02 10:25:00,2025-09-02 10:30:00,SELL,3480.15,3482.22,-4.13,10096.96,0.32
2025-09-02 11:15:00,2025-09-02 11:40:00,SELL,3481.53,3483.46,-3.86,10093.1,0.36
2025-09-02 12:30:00,2025-09-02 12:50:00,SELL,3481.38,3484.23,-5.71,10087.39,0.41
2025-09-03 08:15:00,2025-09-03 09:50:00,BUY,3537.32,3535.27,-4.09,10083.3,0.45
2025-09-03 10:15:00,2025-09-03 10:55:00,BUY,3535.51,3541.31,11.6,10094.91,0.34
2025-09-03 12:20:00,2025-09-03 13:00:00,BUY,3545.08,3552.74,15.32,10110.23,0.19
2025-09-03 14:55:00,2025-09-03 16:55:00,BUY,3558.41,3572.29,27.77,10138.0,0.0
2025-09-04 08:00:00,2025-09-04 08:10:00,SELL,3543.23,3545.49,-4.52,10133.48,0.04
2025-09-04 08:15:00,2025-09-04 09:55:00,SELL,3543.77,3537.02,13.5,10146.98,0.0
2025-09-04 10:00:00,2025-09-04 10:05:00,SELL,3540.38,3542.59,-4.41,10142.57,0.04
2025-09-04 10:35:00,2025-09-04 11:35:00,SELL,3541.58,3543.84,-4.52,10138.05,0.09
2025-09-04 13:05:00,2025-09-04 13:30:00,BUY,3544.14,3555.44,22.59,10160.64,0.0
2025-09-04 14:00:00,2025-09-04 14:05:00,SELL,3536.88,3541.84,-9.93,10150.71,0.1
2025-09-04 14:35:00,2025-09-04 15:05:00,SELL,3543.8,3548.85,-10.1,10140.61,0.2
2025-09-04 15:30:00,2025-09-05 08:00:00,BUY,3547.05,3548.38,2.67,10143.27,0.17
2025-09-05 08:25:00,2025-09-05 09:10:00,SELL,3549.11,3550.92,-3.62,10139.65,0.21
2025-09-05 09:20:00,2025-09-05 09:40:00,SELL,3549.57,3551.34,-3.53,10136.12,0.24
2025-09-05 11:00:00,2025-09-05 11:15:00,BUY,3553.28,3551.82,-2.92,10133.2,0.27
2025-09-05 11:20:00,2025-09-05 11:40:00,SELL,3550.18,3551.75,-3.14,10130.06,0.3
2025-09-05 11:45:00,2025-09-05 11:55:00,SELL,3550.29,3551.77,-2.96,10127.1,0.33
2025-09-05 12:20:00,2025-09-05 12:25:00,BUY,3552.74,3550.77,-3.95,10123.15,0.37
2025-09-05 12:35:00,2025-09-05 12:40:00,BUY,3584.47,3580.45,-8.04,10115.11,0.45
2025-09-05 14:40:00,2025-09-05 16:20:00,BUY,3580.15,3599.7,39.1,10154.21,0.06
2025-09-08 08:10:00,2025-09-08 08:20:00,BUY,3608.92,3616.12,14.41,10168.62,0.0
2025-09-08 12:25:00,2025-09-08 12:55:00,BUY,3617.88,3624.78,13.8,10182.42,0.0
2025-09-08 13:40:00,2025-09-08 15:00:00,BUY,3631.51,3643.3,23.57,10205.99,0.0
2025-09-08 15:40:00,2025-09-09 08:00:00,BUY,3636.15,3644.72,17.13,10223.13,0.0
2025-09-09 08:15:00,2025-09-09 09:10:00,BUY,3643.77,3651.63,15.72,10238.84,0.0
2025-09-09 10:50:00,2025-09-09 11:55:00,BUY,3651.26,3649.33,-3.86,10234.99,0.04
2025-09-09 12:40:00,2025-09-09 13:10:00,BUY,3646.53,3653.82,14.57,10249.55,0.0
2025-09-09 14:10:00,2025-09-09 14:30:00,BUY,3651.51,3645.33,-12.37,10237.18,0.12
