Feature_Name,Importance_Score
ob,1.0
m15_ob,0.2118
ob_bottom,0.2104
ob_top,0.1951
consecutive_direction,0.1631
ob_mitigated,0.0779
atr_ratio,0.0717
body_ratio,0.0539
returns_1,0.049
bb_percent_b,0.0488
ema_20,0.0441
hour,0.0397
ema_50,0.0391
lower_low,0.0368
price_position,0.0366
momentum_3c,0.0364
momentum_6c,0.0363
fvg_top,0.0361
rsi,0.0347
m15_ema20_distance,0.0321
returns_5,0.0315
ema_21,0.0313
hh_count_5,0.0309
close_lag_1,0.03
swing_high,0.0298
close_lag_5,0.0291
ema_9,0.029
swing_low_level,0.0289
last_swing_low,0.0288
atr_percent,0.0288
volatility_20,0.028
m15_bb_lower,0.0279
fvg_bottom,0.0279
swing_low,0.0277
ny_session_cos,0.0277
m15_ema_20,0.0276
higher_high,0.0269
london_session_sin,0.0268
spread,0.0268
last_swing_high,0.0266
ll_count_5,0.0265
bb_lower,0.0263
m15_bb_upper,0.0262
log_returns,0.0259
m15_atr,0.0258
normalized_range,0.0256
london_session_cos,0.025
ema_200,0.025
is_fvg_bull,0.0248
close_lag_2,0.0248
m15_rsi,0.0247
weekday,0.0247
macd,0.0245
market_structure,0.0243
close_lag_3,0.0242
swing_high_level,0.024
bb_middle,0.0239
macd_histogram,0.0239
bos,0.0235
avg_normalized_range,0.0235
fvg_signal,0.0234
m15_close,0.0234
macd_signal,0.0232
dist_from_sma_20,0.0229
m15_macd_signal,0.0227
atr,0.0226
returns_20,0.0226
is_fvg_bear,0.0224
m15_macd,0.0223
bb_width,0.0221
bb_upper,0.0212
m15_ema_50,0.0201
ny_session_sin,0.0198
fvg_mid,0.0195
m15_market_structure,0.0167
